nome,gender,mandato
FRANCESCO COSSIGA,male,2
GIOVANNI LEONE,male,2
GIOVANNI GORIA,male,1
GIOVANNI SPADOLINI,male,2
ADONE ZOLI,male,1
ALCIDE DE GASPERI,male,6
ALDO MORO,male,5
AMINTORE FANFANI,male,6
ANTONIO SEGNI,male,2
ARNALDO FORLANI,male,1
BENEDETTO CRAXI,male,2
CARLO AZEGLIO CIAMPI,male,1
EMILIO COLOMBO,male,1
ENRICO LETTA,male,1
FERDINANDO TAMBRONI ARMAROLI,male,1
GIULIANO AMATO,male,2
GIULIO ANDREOTTI,male,7
GIUSEPPE CONTE,male,2
GIUSEPPE PELLA,male,1
LAMBERTO DINI,male,1
LUIGI CIRIACO DE MITA,male,1
MARIANO RUMOR,male,5
MARIO MONTI,male,1
MARIO SCELBA,male,1
MARIO DRAGHI,male,1
MASSIMO D'ALEMA,male,2
MATTEO RENZI,male,1
PAOLO GENTILONI SILVERI,male,1
ROMANO PRODI,male,2
SILVIO BERLUSCONI,male,4
GIORGIA MELONI,female,1
